Provinces,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
shanghai,12115.429583166,35872.7966664,39836.2562503,43540.5004169,30203.3291669,49018.26,50134.4525001,55893.5195837,32418.86583364,16411.81958341,56356.3420836,59798.1704167,39843.4729168,58079.959167,39739.7987499
yunnan,20913.357916632,41183.967083295,37571.443333374,44573.799166716,32920.492083307,43779.964166575,35961.944999998,35289.265416769,23645.825416719,29861.965000017,28459.205416683,30158.905833208,22683.254583351,29618.563333346,17088.079166765
neimenggu,6023.098333368,24401.721249969,31401.388749951,23340.428750075,11913.992500063,31827.694583384,39822.902916693,31953.772083426,17710.857916711,45176.164583165,61791.632500097,41915.680833587,27050.707916451,56897.556249903,41613.100000283
beijing,8721.54958341,30654.1233333,36917.3020832,39697.4945835,20608.7475002,45567.6691667,41279.2379167,42956.8241662,20289.44583339,35113.5941666,42608.3362499,31428.3649997,22742.89374991,36685.1866667,21621.71541673
taiwan,0.0,0.682083334,0.0,0.0,0.0,0.0,0.499166667,0.0,0.0,0.0,0.0,0.0,16.857083335,25.932083334,19.383749997
jilinsheng,3870.483333373,14290.705416793,16478.83999997,14205.28291667,6310.555416697,21347.012083286,24093.066666468,18480.745833468,5702.713333326,14429.772500106,27570.226666571,19976.803333476,9343.212083321,20084.022916653,14157.591250079
sichuan,30763.233749968,60652.884583909,55956.90541633,66619.931250039,57102.032916813,78578.942500086,72136.42999996,74225.497500245,57954.56541687,78980.135833502,69943.311666496,78640.477083303,62573.810000169,81234.702917229,47083.535416719
tianjin,6819.792916613,19494.29291647,18999.39083337,20464.04291676,14096.69249998,24695.3866666,24374.51666673,25632.37416676,14839.17041669,25734.8858334,27574.5095834,26850.1787498,20465.0687503,28584.9225001,17415.08333356
ningxia,2682.061666655,9313.239583297,10400.321250078,8251.927500062,4746.302083362,12283.719583363,13021.637083369,10199.6575,6449.598333369,14221.843750014,15321.503749933,10847.656666664,8302.657083339,13684.255833354,8469.195416667
anhui,17069.045000075,38839.114166821,41344.944166485,49863.968749905,36715.339583499,56281.989583171,55935.219583145,61961.43249997,40441.910000269,57985.304999897,67438.963750438,67804.762916974,48246.000000087,62493.827499853,43543.935833116
shandong,42308.546250137,94202.157916527,100124.713333536,105111.19708334,80907.86124959,143844.46166698,140671.843748931,145323.563333587,92452.883333426,144412.92791673,151046.937499384,142847.29875029,115880.559167542,159504.37999786,103333.879166367
shanxi,9768.480416646,26878.417083432,30944.817500009,30898.244583315,20237.242916726,39534.022083436,40827.079166818,38411.185833299,23457.302500031,41681.136666643,48037.047499998,35682.109583333,26678.293333247,41992.440833337,28311.908750037
guangdong,49312.693750189,101907.634167218,108768.56666681,120987.802499411,90604.595416476,130024.770000447,128821.708333358,134651.508749865,84388.181249847,113078.049166375,118863.519583088,119165.91583307,85135.132916455,109425.797499602,76238.674583345
guangxi,16564.004166615,34347.677083434,35614.667916687,40030.382916397,29603.404166521,40617.048333283,41544.953333437,43038.348333465,28305.26333336,35295.316666607,37644.848333195,40006.72916669,28794.548750071,33049.95749999,21464.306250129
xinjiang,4858.837916668,20930.282083347,18888.317916717,18604.474583301,8660.721250028,28212.204166971,31230.551250609,21176.935000197,10424.460833321,32658.979166549,32540.300833365,14401.051249907,16798.624999971,42428.526250359,29658.268333474
jiangsu,64749.792499441,136162.6020839,141104.778750143,158703.09999978,121687.082916921,182723.26999994,176795.871251354,195585.40041582,124544.829998819,152918.71208411,173582.40041619,175481.87541713,126484.431666638,164014.60541666,107499.45833307
jiangxi,11988.890416639,26352.965416687,27196.664583368,31988.653750024,23068.296666662,30377.423333363,32482.576666639,31451.979166857,20235.074999946,25275.268333308,32508.183333253,34670.32125022,26722.736666908,32739.603333154,23543.96750007
hebei,33493.851666917,96775.748749803,102808.00083329,105072.63666624,76204.680833537,139181.22832962,122353.471250387,117228.463749907,72528.655416383,117839.85750021,132899.53416636,104676.132500104,83870.600416875,126772.57541626,78334.537916886
henan,31615.126249989,75280.007916598,73558.915000409,69821.084583039,56816.418333502,82755.328333583,64723.725416644,74637.394166692,47506.516250259,70417.384583424,71148.625416552,65809.94374989,56373.783749924,69210.666249987,43301.544166727
zhejiang,47328.007916727,116108.712083007,127380.586249787,141001.20749867,94491.680416471,141824.54916618,132668.898333742,131832.532916996,86779.659166883,116802.894166326,114356.663750284,112943.58958314,82372.365833463,114453.79541588,77360.45583369
hainan,3209.801249978,6360.030416667,6770.962916651,8218.431250024,6837.246250017,9353.71333334,8901.581666693,9444.383333333,7607.38875001,8958.353750036,7003.304583329,9366.230416633,7104.266666675,8837.164583303,6081.727083313
hubei,9644.516249948,39775.250833486,43557.209583385,51464.300416346,37962.307916225,53407.03249999,51363.566666699,56700.358333518,39197.865000034,57083.769583646,58637.113333111,57518.719583387,45096.277499976,55323.42875002,37214.865416653
hunan,7581.04333335,15662.513333503,15590.771666657,17539.730833367,13294.139583362,15990.887916618,16908.847916759,16545.912083257,10888.865833317,15098.576250076,19284.375416616,20598.167916583,13775.993333305,16649.543750088,11027.094166699
aomen,4.057083335,3.540833331,3.625416665,4.922083334,0.0,4.007916666,7.363333332,0.0,0.000416667,0.0,0.3325,0.004583333,21.904583333,90.200416667,96.086666666
gansu,11443.998333333,33828.355833304,34657.27750019,29965.548749882,15738.244166872,40107.282083269,41245.65499988,28083.117500035,16532.933749904,39286.351666531,43277.539166799,31898.65208327,21493.906666718,40262.970416617,27589.839583389
fujian,15992.859583314,35376.102916743,38355.560416793,39930.077916846,29212.716250068,39000.779583821,38872.863750146,41411.639583257,28289.024583659,36432.189583598,44653.89041698,43910.541250029,30918.881250186,35977.397499703,23949.734166493
xizang,981.138333312,4795.573749986,4613.544166638,3340.560833339,1734.324999976,4816.473749997,4398.082083358,2888.107916659,1164.626250009,3690.095833339,2589.972500035,1180.576249994,1771.036250015,3387.151250004,2303.054583369
guizhou,13567.440833315,25593.309999965,24217.524999989,24352.490833313,16613.02833334,22607.844583426,22316.014999941,20957.838750037,14954.61749998,21192.804166632,25219.051249989,25352.811250142,18487.424583328,24185.037083237,15483.060833303
liaoning,8055.390416694,22912.053333286,25270.851249997,22878.130416749,12686.089166703,28087.204583495,30878.843333292,28726.139166452,13887.650833384,27338.742916867,37474.663749711,33037.774166669,21049.952083275,38912.121666849,27234.855416615
chongqing,10557.802499974,24717.56249953,25575.3108333,29127.6112502,22991.4154165,33178.4400003,33433.3945834,34226.279583,23731.45375001,31761.2754164,29775.0366671,27920.6562501,23461.16958304,29285.0941667,18315.3470835
shanxi,25503.208333338,59541.854167205,58857.104583202,55877.089166463,45366.070416616,66078.988749832,50068.3066667,48773.464166401,31313.979583255,58102.014166162,57880.012916736,52032.772500228,39224.182499781,51345.865833566,36677.52541666
qinghai,2361.281666674,7735.125416644,8224.677499983,5264.390000048,2590.206249975,8315.159583358,9560.962916657,6081.318749994,3393.50749999,8289.633333354,8938.81875002,4903.880833273,3901.754166641,9737.271666625,7766.84874994
xianggang,1.163333332,0.162083333,0.260416667,0.059583333,0.0,0.07875,0.27125,0.0,0.0,0.0,0.0,0.0,21.835416667,61.510416665,73.306666667
heilongjiang,2417.676666653,10384.796249959,14193.823749977,11119.097083347,4929.983749982,16320.791250047,19404.363749929,13416.535416609,5202.210416631,14118.377083321,20747.311250109,14201.635833282,6565.767083364,17122.23124989,12806.574166709
